activity_at_injury_unique,injury_mechanism_unique,object_involved_unique
arguing with sister over bath towel,blood pressure dipped,35 pound dumbbell
arguing with wife,bloody nose,35 pound weight
argument,blow,35 pound weight lifting plate
argument with girlfriend,blow to head,35 weight
argument with husband,blow up,35lb barbell weight bar
argument with sister,blowed,35lb box of pizza dough
arising off the toilet,blowing,35lb plate
arm curls,blowing up,35lb weight
arm exercises w weights at gym,blown,35lbs weight
arm resting on coffee table,blown by wind,35pound kettlebell
arm weight lifting workout,blown dust,36 flat screen tv
arm wrestling,blown off,375 lb weight
arm wrestling competition,blown over,375mg pill
arose from bed,blown shut,380 gun
arose from bed quickly,blows,38cal pistol
around a grill that was being lit with lighter fluid,blunt blow,3d printer
around a lot of blood,blunt force trauma,3d printer parts
around a propane tank that exploded,blunt head injury,3ft bed
around horn,blunt head trauma,3ft bucket
around turn,blunt hit,3ft dresser
arranging cabinets,blunt injury,3ft gate
arranging her garage door,blunt tr,"3ft gate, carpeted floor"
arranging some items in her bed,blunt trauma,3ft ladder
arrest,bobbed head,3ft step ladder
arriving home and slamming shoulder on door way,body checked,3ft table
art class,body cramps,3ft wall
artscrafts activity,body piercing,3fth bed
ascend at home,body slammed,"3fth bed, dresser"
ascended steps,body stuffing,3lb free weight
ascending,body turned,3lb hand weight
ascending a small set of stairs,body twisted,3lb weight
ascending carpeted steps,boil over,3lb weights
ascending five step area,boiled water spill,3legged footstool
ascending single stair,boiling water burn,3mg pill
ascending stairs,boiling water spilled,3pronged hook
ascending stairs carrying bottle juice,boiling water splashed,3rd base
ascending steps,boosted,3rd baseman
ascending steps leaving a concert,bottomed out,3rd floor balcony
ascending the stairs,bounced,3rd flr window
asked friend for a beer,bounced off,3rd story apartment balcony
asking for cell phone,bounced out,3rd story balcony
asking for something and getting upset,bouncing,3rd story window
asleep,bound,3ring binder
asleep and rolled out of bed,bowed,3step ladder
asleep at his computer,boxing,3wheeler
asleep at home,boxing injury,4 drawer tall dresser
asleep at the table,braced herself,4 drawer thin wood dresser
asleep in a chair,bracing,4 foot ladder
asleep in a recliner chair,brake failed,4 foot stage
asleep in a swimming pool,brake snapped,4 ft ladder
asleep in bed,braked hard,4 ft slide
asleep in chair,braked suddenly,4 ft stepladder
asleep in dad's arms,brakes failed,4 ft wooden castle
asleep in retail store bathroom,brakes went out,4 inch concrete step
asleep in tub,braking,4 inch discharge hose
asleep in upright position on couch,branch fall,4 inch heels
asleep near a space heater,breaching a wall,4 person atv
asleep on a chair,break,4 pound sledgehammer
asleep on a mattress,break a board,4 step ladder
asleep on bed,break dancing,4 way lug wrench
asleep on couch,breaking,4 wheel
asleep on dad's chest,breaking a block,4 wheel all terrain vehicle
asleep on dad's chest on couch,breaking a bowl,4 wheel atv
asleep on heating pad,breaking a window,"4 wheel atv, suv"
asleep on his bunk bed,breaking apart,"4 wheel bicycle, wall"
asleep on his charger,breaking down,4 wheel skates
asleep on sofa,breaking down door,4 wheeled atv
asleep on the bed,breaking glass,"4 wheeled atv, water balloon"
asleep standing at counter,breaking her foot,4 wheeled cart
asleep while on stairs,breaking in,4 wheeled scooter
asleep while sitting on a chair,breaking out,4 wheeled sideby side atv
asleep with arm hanging off of bed,breaking teeth,4 wheeler
asleep with baby next to her in a bouncey on the floor next to their bed,breaking through glass,4 wheeler atv
asleep with her arm hanging off the bed,breaking tiles,"4 wheeler atv, parked pickup truck"
asleep with legs hanging off bed,breaking up ice,4 wheeler motor
asleep with pt on her chest on the bed,breaking window,4 wheeler pull starter
aspirated water,breaking windows and a wall,4 wheeler tire
assaulted his sister and being combative with the police,breakout,4 wheeler type all terrain vehicle
assaulting his gf,breaks,4 wheeler vehicle
assembling a bed,breathing fumes,"4 wheeler, handle bars, floor"
assembling a bed set,breathing in chemicals,"4 wheeler, ramp"
assembling a bike,breathing in fumes,"4 wheeler, rock, tree"
assembling a childs kitchen,breathing in smoke,"4 wheeler, sled, rope, garage"
assembling a christmas tree stand,breathing in smoke and fumes,4 wheelers
assembling a small trampoline for exercise,breathing paint fumes,4 wheelr
assembling a table,broke,4 x 4
assembling a tent,broke a bottle,40 bag of dog food
assembling a trampoline,broke a dish,40 bag of food
assembling a weight set,broke a glass,40 caliber gun
assembling bed,broke a mirror,40 caliber pistol
assembling bedframe,broke a window,40 ft cliff
assembling bunk bed,broke and fell,40 inch flat screen tv
assembling drawers,broke and squirted,40 lb backpack
assembling fan,broke cast open,40 lb bag of soil
assembling food processor,broke fall,40 lb box
assembling furniture,broke fingernail,40 lb case
assembling furniture using tools wrenches,broke glass,40 lb dumbbell
assembling garage door,broke her fall,40 lb weight
assembling hammock,broke off,40 mg tablet
assembling high chair,broke open,40 pound bag of bird seed
assembling juicer,broke out,40 pound bag of rice
assembling mattress,broke out in hives,40 pound bag of top soil
assembling play mat,broke out in skin rash,40 pound barbel
assembling something,broke stitches,40 pound dumbbell
assembling swing set,broke through,40 pound weight
assembling work bench,broke through ceiling,40 weight
assessing her attack for insulation which was covering the floor board,broke vase,400 lbs pig
assigned door holder,broke window,400lb dumbbells
assisted by ems at dialysis,broked,400lb piece of furniture
assisted to toilet,brokedx,400lb pipe
assisting a friend in a wheelchair up onto his roof patio,brokeleg,400lb rafter beam
assisting a person move a filing cabinet and sliding down the stairs with the cabinet,broken,4050 lb planer
assisting an adult into the bed,broken dish,40lb
assisting another in wheelchair downstairs,broken glass,40lb bag of cement
assisting as a medical student,broken lamp,40lb bag of dog food
assisting boyfriends grandmother to and from a potty chair,broken lights,40lb bag of ice melt
assisting elderly mother to the bathroom,broken object in ear,40lb box
assisting family member in shower,broken off,40lb boxes
assisting her 2 yo daughter down the steps,broken piece,40lb computer
assisting her dog,broken pipette,40lb dog crate
assisting her mother out of their apartment fire,broken table,40lb ns box
assisting her partner,broken window,40lb safe
assisting his wife walking up the stairs,brokeout in rash,40lb weight
assisting husband in the shower,broking,40lb wooden cabinet
assisting living,bronchospasm,40lbs box
assisting mother with transfer from bed to wheelchair,bronchospasms,40lbs weight
assisting to hold ladder,brother landed on pt,40mg pill
assisting wife,bruise,40oz water bottle
assisting with moving multiple pieces of furniture,bruised,420 amp battery
at ***,bruising,42inch tv
at *** game,brushed,44lb bag of kitty litter
at *** restaurant,brushed arms,45 foot ladder
at *** store,brushed by car,45 lb plate
at ***s game,brushing,45 lb weight
at a *** game,brushing against,45 lb weights
at a *** store,brushing hair,45 pd weight
at a aunts house,brusing,45 pound dumbbell
at a bachelor party,bucked,45 pound weight
at a ball game,bucked and fell,45 weight
at a ballgame,bucked and threw,45 weight plate
at a ballpark,bucked off,450 lb barbell
at a bank,bucked off and stepped on,450mg elderberry gummies
at a bar,buckle,45lb box
at a barbeque,buckled,45lb plate
at a baseball field,buckled knee,45lb weight
at a baseball game,buckling,45lb weight plate
at a baseball park,bug bite,45lb wgt
at a basketball court,bug bites,45lbs weight
at a basketball game,bug flew into eye,45lbs weight bar
at a batting cage,bugbites,45pound weighted blanket
at a bbq,bulging disc,46 foot ladder
at a bike track,bull riding,48 lb bag
at a birthday party,bull stepped on him,48inch countertop
at a birthday party and was in a jumper,bummed,4dw atv
at a birthday party in a bounce house,bumoed,4ft bed
at a birthday party in a bouncy house,bump,4ft chair
at a block party,bumped,4ft dresser
at a bonfire,bumped and fell,4ft ladder
at a bonfire and threw gas on the fire,bumped by vehicle,4ft platform
at a bounce house,bumped faces,4ft porch
at a bouncing house party,bumped head,4ft step stool
at a bouncy house inflatable at indoor park,bumped heads,4ft structure
at a bowling alley,bumped off,4fth bed
at a cafe,"bumped, fell",4fth stepladder
at a cafe with mom in a stroller,"bumped, scratched",4lb sledge hammer
at a campground,bumped/stepped on,4lb weights
at a car dealership,bumping,4th floor window
at a car shop,bumping head,4th story balcony
at a car wash,bumping heads,4wd afteratv
at a carnaval,buried,4wd atv
at a casino,burn,4wd atv and stump
at a chapter for her sorority,"burn, electric shock","4wd atv, tree"
at a christmas party,"burn, electrical",4wheel atv
at a church meeting,burned,4wheel scooter
at a club,burning,4wheeled atv
at a community pool,burning brush,4wheeler
at a concert,burning garbage,4wheeler and truck
at a concert in a mosh pit,burning sensation,4wheeler atv
at a concert in mosh pit,burninglike sensation,4wheeler bikescooter
at a concert venue,burns,4wheeler chain
at a conference,burnt,4wheeler handlebar
at a conference in a stuffy room without chairs,burst,4wheeler rollbar
at a convention,burst pipes,4wheeler tire
at a cookout on the beach,bursting,"4wheeler, concrete"
at a crab boil,bus accident,"4wheeler, fence"
at a dance,bus crash,"4wheeler, garage door"
at a dance party,bust,"4wheeler, rock"
at a dark haunted house,busted,"4wheeler, snow blower, embankment"
at a day program,busted window,4x4
at a daycamp,busting out car window,4x4 fence post
at a deli,busting window,4x4 pc approx 1 cmpt pointed size
at a department store,butted,4x6 post
at a disco club,butted head,4x6 wood
at a doctors appointment,butted heads,4yo obese son
at a dog park,bwd,5 cement steps
at a donation center,cable broke and hit,5 drawer dresser
at a fair,cage fighting,5 dumbbell
at a fair with her horse,calf ran into her,5 foot deck
at a family gathering,came down,5 foot tool box
at a family party when one of the kids was swinging the stick for the pinata,came down and hit,5 ft gate
at a fast food restaurant,came down awkwardly,5 ft ladder
at a festival,came down awkwardly inverting his knee,5 ft rail
at a fire pit with friends and pt threw an aerosol paint bottle into the fire,came down for a dunk,5 ft slide
at a fireworks show,came down from a dunk and landed,5 gal bucket
at a food drive,came down from a jump,5 gal plastic bucket
at a football game,came down from a lay up,5 gal water jug
at a frat party,came down from ladder,5 gallon bottle
at a friend's house,came down from lay up,5 gallon bottle of water
at a friend's house during a birthday party,came down from lift,5 gallon bucket
at a friends birthday party,came down hard,5 gallon bucket filled with pellets
at a friends birthday party in the bouncy house,came down hard after a jump,5 gallon bucket of paint
at a friends house,came down hard from a jump,5 gallon bucket of roofing tar
at a friends house when the stove caught on fire,came down hit leg,5 gallon bucket of water
at a friends soccer game,came down in adverse way,5 gallon buckets
at a friendsbirthday party,came down incorrectly,5 gallon fuel tank of kerosene
at a funeral,came down on,5 gallon metal can
at a game,came down on a players foot,5 gallon of water jug
at a game store,came down on and rolled,5 gallon paint can
at a gas station,came down on ankle,5 gallon water bottle
at a gas station when there was a fire,came down on ankle wrong,5 gallon water jug
at a graduation,came down on another persons foot and inverted,"5 gallon water jug, chair, floor"
at a graduation party,came down on another player,5 htp pills
at a grocery store,came down on another players foot,5 inch branch
at a gun range,came down on arm,5 lb jug
at a gym,came down on bike,5 lb kettlebell
at a gymnastic meet,came down on fence,5 lb metal weight
